iter	Passed	Remaining
0	0	42
1	0	37
2	1	57
3	2	49
4	2	44
5	2	42
6	3	40
7	3	38
8	4	49
9	5	46
10	5	45
11	5	43
12	6	42
13	6	41
14	7	40
15	7	39
16	7	38
17	8	37
18	8	36
19	8	35
20	9	34
21	9	34
22	10	33
23	10	33
24	10	32
25	11	32
26	11	31
27	12	30
28	12	30
29	12	29
30	13	29
31	13	28
32	13	28
33	14	27
34	14	27
35	15	26
36	15	26
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	17	22
44	18	22
45	18	21
46	18	21
47	19	21
48	19	20
49	20	20
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	17
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	25	13
66	26	12
67	26	12
68	26	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	29	8
77	30	8
78	30	8
79	31	7
80	31	7
81	31	6
82	32	6
83	32	6
84	32	5
85	33	5
86	33	5
87	34	4
88	34	4
89	34	3
90	35	3
91	35	3
92	35	2
93	36	2
94	36	1
95	37	1
96	37	1
97	37	0
98	38	0
99	38	0
